Total avoided impacts consider 2025 as baseline year,,,,,,,,,,,,
,,,,,,,,,,,,
GEM Unique ID,Unique plant name,Unit name,Location,Total avoided CO2 emissions (Mt),Total avoided deaths,Total avoided Work Loss Days (WLDs),Total investment (mn. USD),Economic spillover (mn. USD),Net permanent jobs created,Total temporary jobs created,Annual customer savings (mn USD),Savings per kWh (%)
L100000103193,Lanao Kauswagan power station,Unit 4,Philippines,24.33,"3,912","203,235",$458.5,$8.7,54,121,$37.9,48%
L100000103176,Masinloc power station,Unit 3,Philippines,61.06,836,"42,886","$1,126.8",$21.4,122,292,$77.5,43%
L100000103197,Kamanga power station,Unit 2,Philippines,14.19,460,"24,286",$340.9,$6.5,38,89,$29.5,49%
L100000103193,Lanao Kauswagan power station,Unit 1,Philippines,23.52,"3,781","196,460",$458.5,$8.7,54,121,$37.9,48%
L100000103193,Lanao Kauswagan power station,Unit 2,Philippines,23.52,"3,781","196,460",$458.5,$8.7,54,121,$37.9,48%
L100000103193,Lanao Kauswagan power station,Unit 3,Philippines,23.52,"3,781","196,460",$458.5,$8.7,54,121,$37.9,48%
L100000103173,Limay power station,Unit 4,Philippines,22.25,"1,380","71,951",$431.9,$8.2,47,112,$37.1,49%
L100000103168,Quezon power station,Unit 2,Philippines,81.81,"1,266","60,849","$1,820.2",$34.6,233,488,$128.0,44%
L100000103182,Therma Visayas Energy Project,Unit 1,Philippines,28.23,"2,286","117,395",$578.8,$11.0,72,154,$44.5,46%
L100000103182,Therma Visayas Energy Project,Unit 2,Philippines,28.23,"2,286","117,395",$578.8,$11.0,72,154,$44.5,46%
L100000103184,Davao San Miguel power station,Unit 2,Philippines,24.05,718,"37,164",$489.0,$9.3,55,128,$41.0,48%
L100000103173,Limay power station,Unit 3,Philippines,21.49,"1,332","69,470",$431.9,$8.2,47,112,$37.1,49%
L100000103166,Pagbilao power station,Unit 3,Philippines,68.03,"2,778","140,884","$1,384.2",$26.3,160,363,$89.3,42%
L100000103192,Balingasag power station,Unit 1,Philippines,8.50,939,"51,359",$183.4,$3.5,22,48,$14.7,47%
L100000103192,Balingasag power station,Unit 2,Philippines,8.50,939,"51,359",$183.4,$3.5,22,48,$14.7,47%
L100000103192,Balingasag power station,Unit 3,Philippines,8.50,939,"51,359",$183.4,$3.5,22,48,$14.7,47%
L100000103184,Davao San Miguel power station,Unit 1,Philippines,23.19,692,"35,837",$489.0,$9.3,55,128,$41.0,48%
L100000103173,Limay power station,Unit 1,Philippines,20.72,"1,285","66,989",$431.9,$8.2,47,112,$37.1,49%
L100000103173,Limay power station,Unit 2,Philippines,20.72,"1,285","66,989",$431.9,$8.2,47,112,$37.1,49%
L100000103170,Bundagul power station,--,Philippines,12.51,"5,342","286,286",$271.6,$5.2,30,71,$23.2,49%
L100000103200,Concepcion power station,Unit 1,Philippines,20.10,852,"44,384",$435.5,$8.3,48,113,$37.3,49%
L100000103185,Davao Therma South power station,Unit 2,Philippines,22.34,"6,335","327,942",$485.8,$9.2,54,126,$41.3,49%
L100000103197,Kamanga power station,Unit 1,Philippines,17.89,580,"30,621",$340.9,$6.5,38,89,$29.5,49%
L100000103195,Misamis Oriental power station,Unit 1,Philippines,20.63,"5,477","284,932",$444.2,$8.4,51,117,$37.4,48%
L100000103195,Misamis Oriental power station,Unit 2,Philippines,20.63,"5,477","284,932",$444.2,$8.4,51,117,$37.4,48%
L100000103195,Misamis Oriental power station,Unit 3,Philippines,20.63,"5,477","284,932",$444.2,$8.4,51,117,$37.4,48%
L100000103202,Panay power station,Unit 3,Philippines,22.34,"5,127","265,402",$492.3,$9.4,57,129,$40.8,48%
L100000103167,Puting Bato power station,Unit 2,Philippines,20.63,"2,871","149,387",$440.2,$8.4,50,115,$37.7,49%
L100000103165,Calaca power station,Unit 3,Philippines,22.04,"2,958","152,859",$488.4,$9.3,55,127,$42.0,49%
L100000103165,Calaca power station,Unit 4,Philippines,22.04,"2,958","152,859",$488.4,$9.3,55,127,$42.0,49%
L100000103185,Davao Therma South power station,Unit 1,Philippines,21.48,"6,092","315,329",$485.8,$9.2,54,126,$41.3,49%
