GEM Unique ID,Unique plant name,Unit name,Location,Planned Retirement Year,Annual avoided CO2 emissions (Mt),Annual avoided deaths,Annual avoided Work Loss Days (WLDs),Total investment (mn. USD),Economic spillover (mn. USD),Net permanent jobs created,Total temporary jobs created,Annual customer savings (mn USD),Savings per kWh (%)
G100000106144,Lanao Kauswagan power station,Unit 4,Philippines,0,0.8109987,130.3917477,6774.485952,458.5,8.7,54,121,37.9,0.48
G100000106715,Masinloc power station,Unit 3,Philippines,0,2.035188574,27.8591378,1429.517795,1126.8,21.4,122,292,77.5,0.43
G100000105514,Kamanga power station,Unit 2,Philippines,0,0.617064229,19.98420923,1055.903355,340.9,6.5,38,89,29.5,0.49
G100000106141,Lanao Kauswagan power station,Unit 1,Philippines,0,0.8109987,130.3917477,6774.485952,458.5,8.7,54,121,37.9,0.48
G100000106142,Lanao Kauswagan power station,Unit 2,Philippines,0,0.8109987,130.3917477,6774.485952,458.5,8.7,54,121,37.9,0.48
G100000106143,Lanao Kauswagan power station,Unit 3,Philippines,0,0.8109987,130.3917477,6774.485952,458.5,8.7,54,121,37.9,0.48
G100000106297,Limay power station,Unit 4,Philippines,0,0.767411844,47.58785274,2481.06152,431.9,8.2,47,112,37.1,0.49
G100000108399,Quezon power station,Unit 2,Philippines,0,2.820865045,43.66220172,2098.229136,1820.2,34.6,233,488,128,0.44
G100000110080,Therma Visayas Energy Project,Unit 1,Philippines,0,0.97358219,78.8375043,4048.111254,578.8,11,72,154,44.5,0.46
G100000110081,Therma Visayas Energy Project,Unit 2,Philippines,0,0.97358219,78.8375043,4048.111254,578.8,11,72,154,44.5,0.46
G100000102264,Davao San Miguel power station,Unit 2,Philippines,0,0.859043108,25.64107487,1327.296605,489,9.3,55,128,41,0.48
G100000106296,Limay power station,Unit 3,Philippines,0,0.767411844,47.58785274,2481.06152,431.9,8.2,47,112,37.1,0.49
G100000107724,Pagbilao power station,Unit 3,Philippines,0,2.429730532,99.20137531,5031.577372,1384.2,26.3,160,363,89.3,0.42
G100000100478,Balingasag power station,Unit 1,Philippines,0,0.314982473,34.7620993,1902.196957,183.4,3.5,22,48,14.7,0.47
G100000100479,Balingasag power station,Unit 2,Philippines,0,0.314982473,34.7620993,1902.196957,183.4,3.5,22,48,14.7,0.47
G100000100480,Balingasag power station,Unit 3,Philippines,0,0.314982473,34.7620993,1902.196957,183.4,3.5,22,48,14.7,0.47
G100000102263,Davao San Miguel power station,Unit 1,Philippines,0,0.859043108,25.64107487,1327.296605,489,9.3,55,128,41,0.48
G100000106294,Limay power station,Unit 1,Philippines,0,0.767411844,47.58785274,2481.06152,431.9,8.2,47,112,37.1,0.49
G100000106295,Limay power station,Unit 2,Philippines,0,0.767411844,47.58785274,2481.06152,431.9,8.2,47,112,37.1,0.49
G100000101109,Bundagul power station,--,Philippines,0,0.481064141,205.4630446,11011.00702,271.6,5.2,30,71,23.2,0.49
G100000101687,Concepcion power station,Unit 1,Philippines,0,0.773138798,32.75796716,1707.085969,435.5,8.3,48,113,37.3,0.49
G100000102269,Davao Therma South power station,Unit 2,Philippines,0,0.859043108,243.6646482,12613.17094,485.8,9.2,54,126,41.3,0.49
G100000105513,Kamanga power station,Unit 1,Philippines,0,0.617064229,19.98420923,1055.903355,340.9,6.5,38,89,29.5,0.49
G100000106947,Misamis Oriental power station,Unit 1,Philippines,0,0.793368294,210.6380958,10958.92378,444.2,8.4,51,117,37.4,0.48
G100000106948,Misamis Oriental power station,Unit 2,Philippines,0,0.793368294,210.6380958,10958.92378,444.2,8.4,51,117,37.4,0.48
G100000106949,Misamis Oriental power station,Unit 3,Philippines,0,0.793368294,210.6380958,10958.92378,444.2,8.4,51,117,37.4,0.48
G100000107749,Panay power station,Unit 3,Philippines,0,0.859043108,197.1963478,10207.76408,492.3,9.4,57,129,40.8,0.48
G100000108252,Puting Bato power station,Unit 2,Philippines,2040,0.793368294,110.4356559,5745.665006,440.2,8.4,50,115,37.7,0.49
G100000101151,Calaca power station,Unit 3,Philippines,0,0.881520327,118.3146411,6114.345824,488.4,9.3,55,127,42,0.49
G100000101152,Calaca power station,Unit 4,Philippines,0,0.881520327,118.3146411,6114.345824,488.4,9.3,55,127,42,0.49
G100000102268,Davao Therma South power station,Unit 1,Philippines,0,0.859043108,243.6646482,12613.17094,485.8,9.2,54,126,41.3,0.49
G100000108251,Puting Bato power station,Unit 1,Philippines,2040,0.793368294,110.4356559,5745.665006,440.2,8.4,50,115,37.7,0.49
G100000110221,Toledo City power station,Unit 3,Philippines,0,0.474375961,54.38688597,2990.0211,280.5,5.3,35,75,25.2,0.5
G100000106690,Mariveles Power Plant,Unit 1,Philippines,0,1.914662149,57.01505215,2802.474544,1032.1,19.6,108,266,93.5,0.5
